"tanggal","stasiun","pm10","pm25","so2","co","o3","no2","max","critical","categori"
"2010-08-01",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-02",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-03",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-04",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-05",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-06",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-07",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-08",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-09",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-10",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-11",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-12",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-13",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-14",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-15",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-16",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-17",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-18",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-19",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-20",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-21",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-22",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-23",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-24",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-25",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-26",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-27",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-28",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-29",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-30",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-08-31",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-01",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-02",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-03",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-04",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-05",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-06",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-07",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-08",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-09",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-10",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-11",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-12",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-13",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-14",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-15",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-16",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-17",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
"2010-04-18",DKI4 (Lubang Buaya),,,,,,,,,TIDAK ADA DATA
