"tanggal","max"
"2010-08-01",48.0000
"2010-08-02",57.0000
"2010-08-03",61.0000
"2010-08-04",
"2010-08-05",76.0000
"2010-08-06",60.0000
"2010-08-07",80.0000
"2010-08-08",73.0000
"2010-08-09",77.0000
"2010-08-10",63.0000
"2010-08-11",34.0000
"2010-08-12",27.0000
"2010-08-13",54.0000
"2010-08-14",43.0000
"2010-08-15",53.0000
"2010-08-16",60.0000
"2010-08-17",54.0000
"2010-08-18",74.0000
"2010-08-19",40.0000
"2010-08-20",44.0000
"2010-08-21",52.0000
"2010-08-22",71.0000
"2010-08-23",65.0000
"2010-08-24",51.0000
"2010-08-25",80.0000
"2010-08-26",45.0000
"2010-08-27",49.0000
"2010-08-28",67.0000
"2010-08-29",70.0000
"2010-08-30",57.0000
"2010-08-31",52.0000
"2010-04-01",59.0000
"2010-04-02",88.0000
"2010-04-03",37.0000
"2010-04-04",39.0000
"2010-04-05",63.0000
"2010-04-06",70.0000
"2010-04-07",70.0000
"2010-04-08",102.0000
"2010-04-09",59.0000
"2010-04-10",40.0000
"2010-04-11",45.0000
"2010-04-12",80.0000
"2010-04-13",80.0000
"2010-04-14",70.0000
"2010-04-15",70.0000
"2010-04-16",42.0000
"2010-04-17",38.0000
"2010-04-18",36.0000
"2010-04-19",36.0000
"2010-04-20",39.0000
"2010-04-21",41.0000
"2010-04-22",37.0000
"2010-04-23",29.0000
"2010-04-24",36.0000
"2010-04-25",55.0000
"2010-04-26",67.0000
"2010-04-27",67.0000
"2010-04-28",56.0000
"2010-04-29",61.0000
"2010-04-30",76.0000
"2010-12-01",43.2500
"2010-12-02",48.7500
"2010-12-03",63.0000
"2010-12-04",49.5000
"2010-12-05",41.2500
"2010-12-06",36.2500
"2010-12-07",32.7500
"2010-12-08",37.0000
"2010-12-09",40.7500
"2010-12-10",41.5000
"2010-12-11",33.7500
"2010-12-12",41.5000
"2010-12-13",52.0000
"2010-12-14",53.7500
"2010-12-15",65.0000
"2010-12-16",31.2500
"2010-12-17",29.5000
"2010-12-18",30.2500
"2010-12-19",32.2500
"2010-12-20",36.7500
"2010-12-21",33.0000
"2010-12-22",41.7500
"2010-12-23",45.2500
"2010-12-24",141.0000
"2010-12-25",53.0000
"2010-12-26",40.7500
"2010-12-27",36.2500
"2010-12-28",47.7500
"2010-12-29",36.5000
"2010-12-30",31.7500
"2010-12-31",30.5000
"2010-02-01",41.0000
"2010-02-02",50.0000
"2010-02-03",57.0000
"2010-02-04",75.0000
"2010-02-05",63.0000
"2010-02-06",65.0000
"2010-02-07",60.0000
"2010-02-08",46.0000
"2010-02-09",52.0000
"2010-02-10",50.0000
"2010-02-11",47.0000
"2010-02-12",56.0000
"2010-02-13",55.0000
"2010-02-14",61.0000
"2010-02-15",63.0000
"2010-02-16",56.0000
"2010-02-17",52.0000
"2010-02-18",41.0000
"2010-02-19",43.0000
"2010-02-20",64.0000
"2010-02-21",61.0000
"2010-02-22",34.0000
"2010-02-23",57.0000
"2010-02-24",93.0000
"2010-02-25",65.0000
"2010-02-26",68.0000
"2010-02-27",67.0000
"2010-02-28",80.0000
"2010-01-01",73.0000
"2010-01-02",33.0000
"2010-01-03",27.0000
"2010-01-04",22.0000
"2010-01-05",25.0000
"2010-01-06",30.0000
"2010-01-07",41.0000
"2010-01-08",64.0000
"2010-01-09",55.0000
"2010-01-10",34.0000
"2010-01-11",55.0000
"2010-01-12",45.0000
"2010-01-13",29.0000
"2010-01-14",38.0000
"2010-01-15",35.0000
"2010-01-16",54.0000
"2010-01-17",44.0000
"2010-01-18",38.0000
"2010-01-19",43.0000
"2010-01-20",63.0000
"2010-01-21",36.0000
"2010-01-22",51.0000
"2010-01-23",35.0000
"2010-01-24",56.0000
"2010-01-25",59.0000
"2010-01-26",43.0000
"2010-01-27",54.0000
"2010-01-28",72.0000
"2010-01-29",51.0000
"2010-01-30",47.0000
"2010-01-31",32.0000
"2010-07-01",55.0000
"2010-07-02",66.0000
"2010-07-03",76.0000
"2010-07-04",56.0000
"2010-07-05",54.0000
"2010-07-06",55.0000
"2010-07-07",63.0000
"2010-07-08",74.0000
"2010-07-09",51.0000
"2010-07-10",55.0000
"2010-07-11",58.0000
"2010-07-12",64.0000
"2010-07-13",66.0000
"2010-07-14",61.0000
"2010-07-15",63.0000
"2010-07-16",63.0000
"2010-07-17",81.0000
"2010-07-18",61.0000
"2010-07-19",53.0000
"2010-07-20",54.0000
"2010-07-21",60.0000
"2010-07-22",62.0000
"2010-07-23",65.0000
"2010-07-24",55.0000
"2010-07-25",65.0000
"2010-07-26",62.0000
"2010-07-27",49.0000
"2010-07-28",59.0000
"2010-07-29",63.0000
"2010-07-30",48.0000
"2010-07-31",50.0000
"2010-06-01",55.0000
"2010-06-02",93.0000
"2010-06-03",72.0000
"2010-06-04",59.0000
"2010-06-05",87.0000
"2010-06-06",59.0000
"2010-06-07",70.0000
"2010-06-08",95.0000
"2010-06-09",54.0000
"2010-06-10",79.0000
"2010-06-11",60.0000
"2010-06-12",64.0000
"2010-06-13",64.0000
"2010-06-14",55.0000
"2010-06-15",57.0000
"2010-06-16",71.0000
"2010-06-17",75.0000
"2010-06-18",74.0000
"2010-06-19",71.0000
"2010-06-20",49.0000
"2010-06-21",51.0000
"2010-06-22",58.0000
"2010-06-23",64.0000
"2010-06-24",30.0000
"2010-06-25",
"2010-06-26",56.0000
"2010-06-27",69.0000
"2010-06-28",60.0000
"2010-06-29",65.0000
"2010-06-30",50.0000
"2010-03-01",60.0000
"2010-03-02",74.0000
"2010-03-03",77.0000
"2010-03-04",62.0000
"2010-03-05",62.0000
"2010-03-06",72.0000
"2010-03-07",59.0000
"2010-03-08",56.0000
"2010-03-09",45.0000
"2010-03-10",44.0000
"2010-03-11",51.0000
"2010-03-12",43.0000
"2010-03-13",74.0000
"2010-03-14",61.0000
"2010-03-15",52.0000
"2010-03-16",45.0000
"2010-03-17",50.0000
"2010-03-18",58.0000
"2010-03-19",63.0000
"2010-03-20",66.0000
"2010-03-21",52.0000
"2010-03-22",37.0000
"2010-03-23",52.0000
"2010-03-24",99.0000
"2010-03-25",55.0000
"2010-03-26",57.0000
"2010-03-27",61.0000
"2010-03-28",56.0000
"2010-03-29",50.0000
"2010-03-30",44.0000
"2010-03-31",58.0000
"2010-05-01",60.0000
"2010-05-02",58.0000
"2010-05-03",73.0000
"2010-05-04",53.0000
"2010-05-05",53.0000
"2010-05-06",53.0000
"2010-05-07",67.0000
"2010-05-08",57.0000
"2010-05-09",51.0000
"2010-05-10",75.0000
"2010-05-11",60.0000
"2010-05-12",61.0000
"2010-05-13",65.0000
"2010-05-14",69.0000
"2010-05-15",92.0000
"2010-05-16",65.0000
"2010-05-17",55.0000
"2010-05-18",57.0000
"2010-05-19",79.0000
"2010-05-20",58.0000
"2010-05-21",60.0000
"2010-05-22",63.0000
"2010-05-23",57.0000
"2010-05-24",54.0000
"2010-05-25",56.0000
"2010-05-26",123.0000
"2010-05-27",113.0000
"2010-05-28",68.0000
"2010-05-29",54.0000
"2010-05-30",64.0000
"2010-05-31",56.0000
"2010-11-01",
"2010-11-02",33.0000
"2010-11-03",56.0000
"2010-11-04",48.0000
"2010-11-05",46.3333
"2010-11-06",40.3333
"2010-11-07",47.0000
"2010-11-08",30.7500
"2010-11-09",68.0000
"2010-11-10",103.2500
"2010-11-11",72.2500
"2010-11-12",42.7500
"2010-11-13",106.7500
"2010-11-14",57.7500
"2010-11-15",66.7500
"2010-11-16",83.0000
"2010-11-17",74.0000
"2010-11-18",128.0000
"2010-11-19",119.3333
"2010-11-20",113.0000
"2010-11-21",118.0000
"2010-11-22",137.0000
"2010-11-23",83.6667
"2010-11-24",92.5000
"2010-11-25",105.7500
"2010-11-26",115.7500
"2010-11-27",131.2500
"2010-11-28",80.3333
"2010-11-29",82.6667
"2010-11-30",53.0000
