bulan,ritasi,max
2011-08-01,20967,76.5
2011-04-01,19346,28.5
2011-12-01,22891,80.5
2011-12-01,19061,80.5
2011-01-01,19602,54.0
2011-07-01,21512,66.25
2011-06-01,20352,79.25
2011-03-01,20263,30.75
2011-05-01,20955,73.0
2011-11-01,20597,96.5
2011-10-01,21056,112.25
2011-09-01,18998,74.75
2012-08-01,21993,149.0
2012-04-01,20942,149.75
2012-12-01,24218,66.4
2012-12-01,20083,66.4
2012-01-01,23659,45.75
2012-07-01,23873,73.0
2012-06-01,22764,84.0
2012-03-01,20660,83.5
2012-05-01,22149,78.75
2012-11-01,23196,137.25
2012-10-01,24036,119.25
2012-09-01,24136,87.75
2013-08-01,28856,84.8
2013-04-01,29166,117.4
2013-12-01,32523,110.6
2013-12-01,27112,110.6
2013-01-01,28966,70.6
2013-07-01,26767,56.6
2013-06-01,29049,52.4
2013-03-01,30395,58.4
2013-05-01,30217,68.4
2013-11-01,29096,101.6
2013-10-01,30256,88.0
2013-09-01,28170,63.2
2014-08-01,24653,67.0
2014-04-01,23194,80.0
2014-12-01,29505,27.2
2014-12-01,22459,27.2
2014-01-01,22964,64.0
2014-07-01,23267,73.4
2014-06-01,23452,92.25
2014-03-01,26022,74.2
2014-05-01,24458,79.8
2014-11-01,28085,72.0
2014-10-01,30175,67.4
2014-09-01,26627,61.4
2015-08-01,28856,74.4
2015-04-01,29166,64.2
2015-12-01,32523,81.2
2015-12-01,27112,81.2
2015-01-01,28966,35.6
2015-07-01,26767,76.2
2015-06-01,29049,50.6
2015-03-01,30365,62.2
2015-05-01,30217,82.2
2015-11-01,29096,91.2
2015-10-01,30256,80.8
2015-09-01,28170,67.4
2017-08-01,35166,72.0
2017-04-01,38408,71.6
2017-12-01,1327,31.6
2017-02-01,32749,37.8
2017-01-01,18411,64.0
2017-07-01,37753,50.0
2017-06-01,33989,34.6
2017-03-01,38408,60.0
2017-05-01,36272,90.6
2017-11-01,22458,92.4
2017-10-01,34772,61.8
2017-09-01,36272,68.8
2018-08-01,40554,98.7778
2018-04-01,38653,43.6
2018-02-01,35163,51.4
2018-01-01,38765,50.0
2018-07-01,40554,125.4
2018-06-01,35396,85.0
2018-03-01,38765,96.4
2018-05-01,40563,78.0
2018-11-01,12975,81.6
2018-10-01,40850,81.8
2018-09-01,38765,100.0
2019-08-01,33548,87.4
2019-04-01,34310,108.0
2019-12-01,42459,92.25
2019-02-01,31085,61.8
2019-01-01,33931,41.6
2019-07-01,42046,80.0
2019-06-01,36493,81.8
2019-03-01,41636,54.0
2019-05-01,41625,62.0
2019-11-01,29992,97.6
2019-10-01,35636,110.4
2019-09-01,40004,79.0
